website,registrar,dnssec,ssl,phishing,price,updated_date_diff,expiration_date_diff,len_name_servers,emails_verify,result
brainpowers.in,"GoDaddy.com, LLC",0,1,1,0.3,-196,169,2,0,0
braxtongaragedoorrepair.xyz,PDR Ltd. d/b/a PublicDomainRegistry.com,0,1,0,0.3,-205,120,4,0,0
breaking17news.com,NAMECHEAP INC,0,1,0,0.3,-167,190,4,0,0
brikstech.com,"GoDaddy.com, LLC",0,1,0,0.3,-88,267,2,0,0
brindavangreentea.com,"OwnRegistrar, Inc.",0,1,0,0.3,-254,109,4,0,0
bringbeauty.in,"GoDaddy.com, LLC",0,0,1,0.3,-18,-30,2,0,0
bsjagdevindustries.com,"GoDaddy.com, LLC",0,1,0,0.3,-194,171,2,0,0
buildpersonalbrand.com,"GMO INTERNET, INC.",0,1,0,0.3,-213,70,4,0,0
bulletins24.com,"GoDaddy.com, LLC",0,1,0,0.3,-164,201,2,0,0
business360.in,Endurance Digital Domain Technology LLP,0,1,1,0.3,-311,14,2,0,0
businessfund.co.in,Hosting Concepts B.V. d/b/a Openprovider,0,0,0,0.3,-162,198,2,0,0
beingknowledgeable.in,"GoDaddy.com, LLC",0,1,1,0.3,-172,188,2,0,0
bestmoviesreview.xyz,"OwnRegistrar, Inc.",0,0,0,0.3,-330,31,2,0,0
bestwaydeliverys.com,"NameSilo, LLC",0,1,0,0.3,-356,9,4,0,0
betterthing.in,"GoDaddy.com, LLC",0,0,1,0.3,-170,190,2,0,0
bezelsecurites.com,"OwnRegistrar, Inc.",0,0,0,0.3,-177,161,4,0.5,0
bhabanimultimedia.com,"GoDaddy.com, LLC",0,0,0,0.3,-58,223,2,0,0
bhabanimultimedia.in,HIOX SOFTWARES PRIVATE LIMITED,0,0,1,0.3,-30,-31,2,0,0
bharatpaymultiservices.com,"GoDaddy.com, LLC",0,0,0,0.3,-10,349,2,0,0
bhartiavenue.com,"OwnRegistrar, Inc.",0,1,0,0.3,-252,112,4,0.5,0
bhaveshsharma.com,NAMECHEAP INC,0,1,0,0.3,-65,293,4,0.5,0
bigflying.in,Own Web Solution Pvt. Ltd.,0,1,1,0.3,-209,516,2,0,0
bimasupport.in,,0,0,1,0.3,,,,0,0
bioncart.com,"OwnRegistrar, Inc.",0,1,0,0.3,-363,1,4,0.5,0
biova.co.in,HIOX SOFTWARES PRIVATE LIMITED,0,1,0,0.3,-121,605,2,0,0
